BAIRROS;SINAN
Alcântara;ALCÂNTARA
Almerinda;ALMERINDA
Amendoeira;AMENDOEIRA
Anaia Pequeno;ANAIA PEQUENO
Antonina;ANTONINA
Apolo III;APOLO III
Arsenal;ARSENAL
Bandeirantes;BANDEIRANTES
Barracão;BARRACÃO
Barro Vermelho;BARRO VERMELHO
Boa Vista;BOA VISTA
Boaçu;BOAÇU
Bom Retiro;BOM RETIRO
Brasilândia;BRASILÂNDIA
Centro;CENTRO
Coelho;COELHO
Colubandê;COLUBANDÊ
Covanca;COVANCA
Engenho do Roçado;ENGENHO DO ROÇADO
Engenho Pequeno;ENGENHO PEQUENO
Estrela do Norte;ESTRELA DO NORTE
Fazenda dos Mineiros;FAZENDA DOS MINEIROS
Galo Branco;GALO BRANCO
Gradim;GRADIM
Guaxindiba;GUAXINDIBA
Itaoca;ITAOCA
Itaúna;ITAÚNA
Jardim Catarina;JARDIM CATARINA
Jardim Nova República;JARDIM NOVA REPÚBLICA
jardim bom retiro;JARDIM BOM RETIRO
Jardim California;JARDIM CALIFORNIA
Jóquei;JÓQUEI
Laranjal;LARANJAL
Largo da Idéia;LARGO DA IDÉIA
Lindo Parque;LINDO PARQUE
Luiz Caçador;LUIZ CAÇADOR
Marambaia;MARAMBAIA
Maria Paula;MARIA PAULA
Miriambi;MIRIAMBI
Monjolos;MONJOLOS
Morro do Castro;MORRO DO CASTRO
Mutondo;MUTONDO
Mutua;MUTUA
Mutuaguaçu;MUTUAGUAÇU
Mutuapira;MUTUAPIRA
Neves;NEVES
Nova Cidade;NOVA CIDADE
Novo México;NOVO MÉXICO
Pacheco;PACHECO
Palmeiras;PALMEIRAS
Parada Quarenta;PARADA QUARENTA
Paraíso;PARAÍSO
Patronato;PATRONATO
Pita;PITA
Porto da Madama;PORTO DA MADAMA
Porto da Pedra;PORTO DA PEDRA
Porto do Rosa;PORTO DO ROSA
Porto Novo;PORTO NOVO
Porto Velho;PORTO VELHO
Raul Veiga;RAUL VEIGA
Recanto das Acácias;RECANTO DAS ACÁCIAS
Rio do Ouro;RIO DO OURO
Rocha;ROCHA
Rosane;ROSANE
Sacramento;SACRAMENTO
Salgueiro;SALGUEIRO
Santa Catarina;SANTA CATARINA
São Miguel;SÃO MIGUEL
Santa Izabel;SANTA IZABEL
Santa Luzia;SANTA LUZIA
Tenente Jardim;TENENTE JARDIM
Tribobó;TRIBOBÓ
Trindade;TRINDADE
Venda da Cruz;VENDA DA CRUZ
Vila Candosa;VILA CANDOSA
Ipiíba;IPIÍBA
Vila Lage;VILA LAGE
Vila Três;VILA TRÊS
Vista Alegre;VISTA ALEGRE
Ze Garoto;ZE GAROTO
Zé Garoto;ZÉ GAROTO
Zumbi;ZUMBI
Anaia Grande;ANAIA GRANDE
Arrastão;ARRASTÃO
camarão;CAMARÃO
eliane;ELIANE
Gebara;GEBARA
ieda;IEDA
Lagoinha;LAGOINHA
mangueira;MANGUEIRA
tiradentes;TIRADENTES
Várzea das moças;VÁRZEA DAS MOÇAS
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
;
